fecha,area
2019-01,400818
2019-02,400636
2019-03,
2019-04,397884
2019-05,396317
2019-06,397881
2019-07,400584
2019-08,407582
2019-09,421525
2019-10,
2019-11,446555
2019-12,414845
2020-01,404234
2020-02,399072
2020-03,397620
2020-04,395110
2020-05,393042
2020-06,395093
2020-07,400631
2020-08,
2020-09,400933
2020-10,400973
2020-11,398172
2020-12,
2021-01,395276
2021-02,399950
2021-03,397495
2021-04,397495
2021-05,396766
2021-06,389605
2021-07,399491
2021-08,
2021-09,
2021-10,403267
2021-11,400235
2021-12,394779
2022-01,391498
2022-02,392959
2022-03,392038
2022-04,389919
2022-05,392904
2022-06,393412
2022-07,396587
2022-08,411461
2022-09,403463
2022-10,399103
2022-11,389908
2022-12,391615
2023-01,384345
2023-02,382543
2023-04,379952
2023-05,383884
2023-06,384421
2023-07,395426
2023-08,
2023-09,407315
2023-10,431560
2023-11,418687
2023-12,408909
2024-01,
2024-02,399995
2024-03,398081
2024-04,399255
2024-05,479996
2024-06,486680
2024-07,457529
2024-08,448487
2024-09,452019
2024-10,447975
2024-11,
2024-12,
2025-01,402570
2025-02,399531
2025-03,397336
2025-04,398252
2025-05,396513
2025-06,397449
2025-07,399001.36835643824
